# periods, rho, phi
1000.000000,677.068922,60.224972
932.930403,643.537734,60.612534
870.359136,628.746577,55.460003
811.984499,747.432141,54.881882
757.525026,760.555492,55.717945
706.718127,717.282183,49.854934
659.318827,761.896449,53.068080
615.098579,781.059784,48.344412
573.844165,754.911658,48.824538
535.356668,828.686789,48.985336
499.450512,806.873673,49.835437
465.952567,847.341549,44.546334
434.701316,793.897239,41.360002
405.546074,731.884411,40.994980
378.346262,759.752517,41.953033
352.970730,695.566158,39.973182
329.297126,665.899188,38.119566
307.211300,669.383924,38.165534
286.606762,636.019629,38.120415
267.384162,749.653447,34.119687
249.450814,610.213149,33.487985
232.720248,617.163875,36.903464
217.111795,585.334819,32.105164
202.550194,618.403408,34.809552
188.965234,569.136697,32.541708
176.291412,542.680177,30.640783
164.467618,471.323779,32.140702
153.436841,501.699254,31.761854
143.145894,528.691768,30.589739
133.545156,492.060809,30.965686
124.588336,446.759797,32.538262
116.232247,458.579167,28.831602
108.436597,447.717331,28.947192
101.163798,474.191534,29.891676
94.378783,469.027886,25.156866
88.048836,352.774067,30.267830
82.143436,403.161123,29.688193
76.634109,373.324810,25.758676
71.494290,369.832268,29.712189
66.699197,375.167662,28.702647
62.225708,345.754869,27.817849
58.052255,352.568402,27.746382
54.158714,341.628002,27.077240
50.526311,311.938062,28.077071
47.137531,328.024773,27.636299
43.976036,340.405636,25.065559
41.026581,287.012184,25.513393
38.274945,301.203234,25.093631
35.707860,274.077246,25.563045
33.312948,262.549149,26.258356
31.078662,260.130727,26.279220
28.994229,266.656007,24.332607
27.049597,225.535761,25.213587
25.235392,250.017487,21.767191
23.542864,225.106952,23.508481
21.963854,198.077938,24.732727
20.490747,227.102204,20.923937
19.116441,208.640425,20.662097
17.834309,193.520264,20.461746
16.638169,211.106371,21.122921
15.522254,181.443338,20.801641
14.481182,201.535548,21.929289
13.509935,146.252243,24.275784
12.603829,187.646662,19.710528
11.758496,142.065464,22.699275
10.969858,146.410878,20.064057
10.234114,129.557689,22.040839
9.547716,146.449660,18.865476
8.907355,136.236841,18.490043
8.309942,135.368752,19.208986
7.752597,118.599226,19.853108
7.232634,125.553729,19.590004
6.747544,115.818738,19.285907
6.294989,106.982296,20.080167
5.872787,103.684115,19.980696
5.478901,91.181888,17.612747
5.111433,103.033752,20.607118
4.768612,91.158187,19.203500
4.448783,82.674133,19.792819
4.150405,79.093179,18.846365
3.872039,72.021200,19.591904
3.612343,74.196375,19.728431
3.370064,72.436754,19.832026
3.144035,72.405453,19.998351
2.933166,74.639300,17.377782
2.736440,57.881832,22.848615
2.552908,70.988264,19.213680
2.381686,55.232671,21.814028
2.221947,58.742430,20.974771
2.072922,53.186046,22.016406
1.933892,43.552930,25.308476
1.804186,49.273266,24.952912
1.683180,43.492430,24.201880
1.570290,44.754839,25.082540
1.464971,41.790200,25.753529
1.366716,43.404532,26.045112
1.275051,44.798001,26.867096
1.189534,37.187346,25.856028
1.109752,37.391745,29.274491
1.035322,37.328476,30.719987
0.965883,33.069839,32.996333
0.901102,32.999089,35.695483
0.840665,27.114942,32.915647
0.784282,26.678196,35.719896
0.731681,30.192102,39.937278
0.682607,27.717736,35.457326
0.636825,30.736754,35.766068
0.594113,27.927127,42.283173
0.554266,29.263494,38.970259
0.517092,31.069916,39.902754
0.482411,31.771688,41.328019
0.450056,31.090498,42.024404
0.419871,30.725509,50.254682
0.391710,27.823255,46.812215
0.365438,27.910911,48.135744
0.340929,30.171828,48.421489
0.318063,34.067737,51.007040
0.296730,28.189679,48.859143
0.276829,28.490017,52.172494
0.258262,31.587362,55.775917
0.240940,31.371205,53.381659
0.224781,30.497761,51.891346
0.209705,34.958899,56.650394
0.195640,35.037779,53.803906
0.182518,35.455498,51.611657
0.170277,36.573650,56.499759
0.158857,41.267989,62.841789
0.148202,37.594569,55.322361
0.138262,45.692063,55.763467
0.128989,41.464688,56.507607
0.120338,39.685237,55.890088
0.112267,45.549861,56.786993
0.104737,51.760430,59.723902
0.097712,50.293503,58.466465
0.091159,48.394219,57.198683
0.085045,59.732972,59.331529
0.079341,58.904814,58.554935
0.074020,51.261574,58.273064
0.069055,60.949150,61.417932
0.064424,65.575067,59.855491
