# periods, rho, phi
0.000401,70.640464,44.926768
0.000365,69.690677,44.860253
0.000333,70.314061,44.639205
0.000304,71.695126,44.641655
0.000277,70.967605,44.169554
0.000252,69.286815,45.712927
0.000230,70.627240,44.768445
0.000210,68.621421,45.317329
0.000191,70.308315,44.772500
0.000174,69.799434,44.984879
0.000159,68.980558,45.117786
0.000145,70.260726,45.915775
0.000132,70.006805,45.275431
0.000120,69.850520,45.523558
0.000110,69.352431,45.806957
0.000100,71.472431,45.611485
