# periods, rho, phi
1000.000000,683.681564,62.322718
932.930403,695.656432,61.169836
870.359136,708.939838,58.919971
811.984499,748.855321,57.464325
757.525026,765.074193,56.320478
706.718127,766.216207,53.857120
659.318827,784.524626,53.137369
615.098579,793.621915,50.870791
573.844165,791.472844,49.650051
535.356668,806.352348,48.382271
499.450512,798.946131,47.283222
465.952567,801.960371,44.985074
434.701316,783.495837,43.156639
405.546074,761.239487,41.949728
378.346262,755.040388,41.052114
352.970730,728.685928,39.629619
329.297126,707.927688,38.304025
307.211300,692.954198,37.419286
286.606762,669.697826,36.585268
267.384162,675.281846,35.035982
249.450814,630.876506,34.250528
232.720248,615.136596,34.327083
217.111795,592.450950,32.831929
202.550194,582.643490,32.915115
188.965234,557.487807,32.038425
176.291412,537.304720,31.301620
164.467618,508.697449,31.289836
153.436841,501.584354,30.960634
143.145894,494.289848,30.502024
133.545156,475.273534,30.383289
124.588336,455.082583,30.516657
116.232247,447.236937,29.618605
108.436597,435.400491,29.491253
101.163798,431.374722,29.537179
94.378783,421.330900,28.388616
88.048836,390.310463,29.282288
82.143436,392.779266,29.008198
76.634109,379.104215,28.038427
71.494290,371.128775,28.622843
66.699197,364.931975,28.206773
62.225708,351.867786,27.797189
58.052255,346.063357,27.539574
54.158714,336.721895,27.150264
50.526311,323.572852,27.082289
47.137531,319.629565,26.731768
43.976036,314.809651,25.932281
41.026581,297.067077,25.756254
38.274945,292.742143,25.395124
35.707860,280.186411,25.215952
33.312948,270.760470,25.081393
31.078662,263.254366,24.821859
28.994229,257.642867,24.174207
27.049597,242.490821,24.083718
25.235392,240.684129,23.147420
23.542864,229.121555,23.257233
21.963854,217.064102,23.247850
20.490747,216.561538,22.262740
19.116441,206.641452,21.991973
17.834309,197.490137,21.739162
16.638169,194.961403,21.652974
15.522254,183.256247,21.393513
14.481182,181.436231,21.432670
13.509935,164.733565,21.675009
12.603829,167.660818,20.613385
11.758496,153.343040,21.047202
10.969858,149.173683,20.386106
10.234114,140.761494,20.628506
9.547716,139.369967,19.876340
8.907355,132.676532,19.692360
8.309942,127.983907,19.739553
7.752597,120.298065,19.790552
7.232634,117.448764,19.671917
6.747544,111.466924,19.561965
6.294989,105.800056,19.692006
5.872787,101.377320,19.660487
5.478901,95.236654,19.202206
5.111433,94.109452,19.829826
4.768612,88.453521,19.588334
4.448783,83.571837,19.780026
4.150405,79.798159,19.687701
3.872039,75.458616,19.958664
3.612343,73.115169,20.129598
3.370064,70.100615,20.322367
3.144035,67.545359,20.554043
2.933166,65.488064,20.217011
2.736440,59.954082,21.614741
2.552908,60.287605,21.143310
2.381686,55.207168,22.029514
2.221947,53.931876,22.205896
2.072922,51.008079,22.815683
1.933892,47.332594,23.891414
1.804186,46.866952,24.302281
1.683180,44.191872,24.649037
1.570290,43.012541,25.360330
1.464971,41.090096,26.070251
1.366716,40.156856,26.734979
1.275051,39.256711,27.544641
