# periods, rho, phi
1000.000000,288.447455,44.307648
932.930403,275.992256,43.828944
870.359136,271.576870,42.209505
811.984499,272.362285,41.639110
757.525026,263.400886,41.512811
706.718127,256.772939,40.093454
659.318827,249.281383,40.586828
615.098579,246.245818,39.572518
573.844165,237.444664,39.681423
535.356668,235.626755,39.786105
499.450512,228.628341,40.085625
465.952567,228.320150,39.217297
434.701316,222.048681,38.806934
405.546074,215.211922,38.979850
378.346262,214.059585,39.417477
352.970730,208.493303,39.277619
329.297126,205.208884,39.157366
307.211300,204.374657,39.393753
286.606762,201.706272,39.587038
267.384162,207.531835,38.933905
249.450814,198.772698,38.955592
232.720248,200.075420,39.775823
217.111795,196.869328,38.818264
202.550194,200.103194,39.435717
188.965234,196.207656,38.916802
176.291412,193.736380,38.447461
164.467618,188.887352,38.686226
153.436841,190.904554,38.502466
143.145894,192.222956,38.111924
133.545156,189.117033,38.047835
124.588336,185.401759,38.226720
116.232247,184.317401,37.229145
108.436597,182.618602,37.076155
101.163798,184.187780,37.112147
94.378783,180.797097,35.803696
88.048836,171.548802,36.809409
82.143436,174.698067,36.511330
76.634109,169.405264,35.440304
71.494290,169.126313,36.150954
66.699197,167.944142,35.745086
62.225708,163.562642,35.362720
58.052255,162.773798,35.169160
54.158714,160.105396,34.836765
50.526311,156.106961,34.885546
47.137531,156.081667,34.614504
43.976036,154.928906,33.819610
41.026581,148.364460,33.754317
38.274945,148.133840,33.468672
35.707860,143.980634,33.395143
33.312948,141.407078,33.370517
31.078662,139.566360,33.190466
28.994229,138.065925,32.533098
27.049597,132.195313,32.541508
25.235392,132.197819,31.505794
23.542864,128.331919,31.745163
21.963854,123.818333,31.831166
20.490747,124.373705,30.695724
19.116441,120.483601,30.437436
17.834309,116.920277,30.192314
16.638169,117.422624,30.148673
15.522254,112.046136,29.876019
14.481182,113.002774,29.973162
13.509935,104.757430,30.318802
12.603829,107.164371,28.988707
11.758496,100.261237,29.560798
10.969858,98.469127,28.714441
10.234114,94.788285,29.017594
9.547716,94.614436,28.023611
8.907355,91.383926,27.749121
8.309942,89.645906,27.760403
7.752597,85.664699,27.761420
7.232634,84.836256,27.527446
6.747544,81.650626,27.289083
6.294989,78.765496,27.343871
5.872787,76.539525,27.173534
5.478901,72.572255,26.439730
5.111433,73.151996,27.077633
4.768612,69.490087,26.589426
4.448783,66.607333,26.632573
4.150405,64.317588,26.300434
3.872039,61.678744,26.404745
3.612343,60.516903,26.364626
3.370064,58.729897,26.332390
3.144035,57.263088,26.328579
2.933166,55.911303,25.623604
2.736440,52.168726,26.972141
2.552908,52.725962,26.084233
2.381686,48.938743,26.771315
2.221947,48.204262,26.614149
2.072922,46.050879,26.935802
1.933892,43.224386,27.755245
1.804186,43.105403,27.810879
1.683180,40.896678,27.784696
1.570290,40.078105,28.141909
1.464971,38.511961,28.482074
1.366716,37.818330,28.761712
1.275051,37.126300,29.182309
1.189534,34.809453,29.267618
1.109752,34.033887,30.284100
1.035322,33.209186,30.922712
0.965883,31.634958,31.750001
0.901102,30.871521,32.696362
0.840665,29.072387,32.584120
0.784282,28.337403,33.586135
0.731681,28.360097,34.924021
0.682607,27.417693,34.586266
0.636825,27.476218,35.191514
0.594113,26.383300,37.052687
0.554266,26.282640,37.029164
0.517092,26.211644,37.844108
0.482411,25.970016,38.787535
0.450056,25.547102,39.611181
0.419871,24.997936,41.989940
0.391710,24.427710,42.002482
