# periods, rho, phi
10000.000000,305.291686,40.959112
6866.488450,239.852345,41.553770
4714.866363,229.141056,37.855948
3237.457543,249.692705,39.535513
2222.996483,234.652773,42.214477
1526.417967,229.064619,37.578453
1048.113134,218.846338,42.051122
719.685673,225.772389,38.444497
494.171336,205.914820,39.934028
339.322177,214.946151,40.972705
232.995181,198.135726,42.549552
159.985872,207.224301,37.858528
109.854114,188.533572,35.146256
75.431201,164.266795,34.950839
51.794747,158.490132,35.826090
35.564803,136.479468,33.739997
24.420531,121.451315,31.664887
16.768329,110.440535,31.261875
11.513954,93.642909,30.751547
7.906043,100.497380,26.832511
5.428675,71.454376,26.133532
3.727594,60.315447,29.338798
2.559548,50.744476,25.900295
1.757511,44.967831,29.866932
1.206793,36.097567,30.259662
0.828643,30.298511,31.878105
0.568987,24.249915,37.998590
0.390694,25.049279,42.920441
0.268270,26.822916,47.149391
0.184207,27.916296,52.740415
0.126486,31.370764,58.624882
0.086851,34.289125,58.036411
0.059636,42.127262,60.070620
0.040949,59.105930,61.257821
0.028118,60.207160,54.426804
0.019307,67.097983,57.011178
0.013257,83.855204,52.598625
0.009103,72.682886,44.422790
0.006251,79.389593,46.999494
0.004292,77.050523,45.046687
0.002947,69.126433,44.351963
0.002024,71.714969,45.065042
0.001389,70.872312,44.894506
0.000954,69.019505,46.538890
0.000655,74.509204,46.400966
0.000450,74.975408,43.596884
0.000309,66.501489,44.614140
0.000212,71.772275,44.511974
0.000146,68.963152,45.561403
0.000100,70.353816,46.886628
