# period, rho, phi
1000.000000,326.775158,37.763899
922.197882,229.570361,41.795691
850.448934,245.062681,31.337275
784.282206,313.515349,34.104246
723.263390,264.063005,39.383681
666.991966,261.144148,28.854414
615.098579,225.433751,40.012169
567.242607,255.767988,32.539148
523.109931,208.457734,37.076850
482.410870,242.136827,41.181586
444.878283,215.828170,47.008216
410.265811,258.715378,38.010725
378.346262,229.959419,34.068334
348.910121,189.196912,36.337426
321.764175,210.889773,41.909141
296.730241,178.110405,40.310263
273.644000,168.246701,38.647252
252.353917,182.321047,41.527472
232.720248,174.013664,44.009643
214.614120,264.772567,36.365936
197.916687,175.253609,36.431986
182.518349,208.502064,46.685621
168.318035,183.396280,36.198885
155.222536,238.451064,44.087170
143.145894,203.821306,39.732552
132.008840,190.044238,35.735410
121.738273,149.900943,40.579950
112.266777,187.145920,40.002826
103.532184,220.566360,37.408434
95.477161,200.678887,38.734603
88.048836,176.533570,43.210929
81.198450,183.411693,33.742541
74.881039,183.254035,34.274701
69.055135,223.239183,36.877530
63.682499,213.550793,25.188385
58.727866,122.090536,38.725807
54.158714,175.892622,37.122223
49.945051,143.874133,26.737927
46.059220,157.097842,37.923808
42.475716,166.465736,35.635493
39.171015,141.037265,33.780306
36.123427,154.706600,34.085234
33.312948,148.697034,32.843275
30.721130,128.153961,36.198823
28.330961,150.785569,35.443850
26.126752,164.649966,29.312378
24.094036,116.697310,30.965267
22.219469,137.466162,30.485937
20.490747,117.041738,32.404983
18.896523,113.662944,34.995216
17.426334,118.177351,35.592425
16.070528,127.277170,30.795115
14.820207,91.957394,34.092591
13.667164,117.623153,24.843579
12.603829,100.196233,30.257930
11.623225,80.193156,34.638129
10.718913,110.448234,24.109255
9.884959,95.661945,23.724416
9.115888,84.641546,23.533118
8.406653,111.572499,26.202029
7.752597,82.805695,25.612796
7.149429,114.647254,29.240484
6.593188,60.895745,37.414525
6.080224,105.553812,24.086016
5.607170,62.470846,33.314147
5.170920,67.716452,25.655589
4.768612,56.309407,32.217443
4.397604,75.645968,22.966332
4.055461,67.706006,22.094625
3.739937,72.001769,24.590550
3.448962,57.053986,26.730785
3.180626,69.275515,26.207581
2.933166,60.947896,25.523714
2.704960,55.051895,28.077667
2.494508,54.543890,27.930999
2.300430,40.721059,20.442386
2.121452,62.027645,29.848147
1.956398,48.270809,25.848409
1.804186,41.518622,27.634437
1.663817,39.038333,24.576626
1.534368,33.862951,26.786317
1.414991,39.171255,27.134716
1.304902,39.610565,27.273822
1.203378,42.298149,27.588625
1.109752,45.488882,19.625578
1.023411,31.070054,35.677602
0.943788,47.113081,24.548622
0.870359,30.313673,31.418064
0.802643,36.179892,28.429100
0.740196,31.420876,30.817346
0.682607,23.310611,40.332577
0.629499,32.560886,38.006090
0.580523,24.801152,34.886408
0.535357,28.907097,36.599523
0.493705,26.482603,37.485654
0.455294,30.573886,37.291167
0.419871,35.177726,38.538625
0.387204,23.025607,33.805422
0.357079,27.648867,42.456018
0.329297,30.158461,44.896638
0.303677,25.863537,49.401776
0.280050,29.743855,54.302000
0.258262,16.290920,45.736964
0.238169,18.187067,51.674155
0.219639,30.274664,59.273761
0.202550,20.270541,46.903169
0.186791,26.740101,46.140255
0.172259,27.667859,59.617892
0.158857,26.930125,50.171601
0.146497,31.969722,50.668676
0.135099,35.097753,52.153566
0.124588,33.892934,51.877196
0.114895,42.557899,66.751440
0.105956,29.391951,58.734815
0.097712,30.138879,59.842407
0.090110,35.730697,58.702079
0.083099,49.265304,62.227486
0.076634,28.955095,56.040241
0.070672,31.367834,61.869412
0.065173,42.720183,67.633207
0.060103,38.218119,61.311198
0.055427,33.349386,56.244220
0.051114,49.324598,65.304140
0.047138,45.589933,57.838544
0.043470,44.497973,51.253000
0.040088,48.918273,61.110086
0.036969,68.486426,73.038798
0.034093,48.039145,55.623389
0.031440,73.995756,55.833811
0.028994,56.988401,55.998758
0.026738,48.969448,52.969115
0.024658,65.946826,54.400114
0.022740,84.365369,60.324467
0.020970,75.439839,56.472251
0.019339,65.950299,52.327568
0.017834,99.891384,56.847358
0.016447,92.211333,54.367472
0.015167,62.052023,53.138404
0.013987,84.710171,60.810185
0.012899,95.001824,56.407899
0.011895,69.180720,51.725214
0.010970,91.763779,52.270794
0.010116,83.051441,49.370540
0.009329,82.128840,48.674233
0.008603,71.489637,51.788967
0.007934,77.071097,47.285762
0.007317,76.813832,42.199819
0.006748,74.400629,45.045007
0.006223,88.815081,46.553341
0.005738,73.683307,50.428157
0.005292,84.703235,33.184323
0.004880,60.140627,44.332173
0.004501,86.809748,50.409240
0.004150,67.517041,41.735754
0.003827,73.243624,40.041997
0.003530,84.942723,41.628649
0.003255,79.085266,37.545211
0.003002,109.004398,38.185534
0.002768,75.771957,42.046620
0.002553,57.310518,43.936717
0.002354,62.414085,42.169743
0.002171,65.633218,40.740580
0.002002,83.423859,45.813053
0.001846,74.538828,51.159231
0.001703,77.941554,49.436732
0.001570,83.430981,47.106248
0.001448,60.994684,48.267372
0.001335,78.012595,38.272734
0.001232,40.480770,45.457571
0.001136,36.562353,46.899721
0.001047,78.157877,50.538430
0.000966,69.146826,47.677050
0.000891,69.160835,45.430893
0.000821,67.169345,44.993099
0.000758,64.814100,39.148337
0.000699,87.176747,44.726351
0.000644,75.489094,48.315296
0.000594,59.998352,45.609264
0.000548,69.752127,43.805961
0.000505,60.915063,44.175039
0.000466,73.809972,50.017036
0.000430,58.604909,53.659127
0.000396,74.424966,48.217320
0.000365,54.990051,32.101895
0.000337,77.862808,44.152469
0.000311,66.360095,43.269033
0.000287,74.153558,40.767848
0.000264,92.012829,41.189482
0.000244,83.975954,35.786156
0.000225,63.069795,53.986752
0.000207,77.829903,42.335930
0.000191,54.609355,49.251733
0.000176,73.856581,42.316210
0.000163,67.577384,44.793958
0.000150,58.263635,46.513018
0.000138,75.474865,55.639738
0.000128,70.251997,48.274592
0.000118,68.939730,51.307759
0.000108,64.199880,55.083819
0.000100,89.684953,51.534964
