# periods, rho, phi
10000.000000,880.839767,60.051775
6866.488450,911.106665,53.882366
4714.866363,916.961975,42.548747
3237.457543,963.098400,38.511625
2222.996483,801.847087,38.558110
1526.417967,726.954859,33.817780
1048.113134,648.609449,38.506623
719.685673,663.485800,34.914184
494.171336,585.072568,35.809506
339.322177,584.080921,36.135611
232.995181,507.672269,36.942814
159.985872,518.607828,31.771053
109.854114,452.203598,28.574793
75.431201,367.538690,27.679378
51.794747,324.601468,27.731116
35.564803,260.900923,25.301767
24.420531,215.635722,23.068918
16.768329,178.682624,22.380495
11.513954,138.186002,21.830360
7.906043,139.988724,18.944683
5.428675,91.735309,18.894052
3.727594,70.014661,22.417947
2.559548,56.689365,20.986625
1.757511,47.196311,26.413979
1.206793,37.136092,29.088954
0.828643,31.246112,33.035267
0.568987,26.184906,41.359654
0.390694,29.184129,47.690506
0.268270,34.035380,52.168234
0.184207,38.648900,56.732123
0.126486,46.159986,60.626706
0.086851,51.417594,57.632032
0.059636,62.488899,56.866870
0.040949,82.214363,55.439184
0.028118,79.201028,46.239922
0.019307,72.551629,48.982835
0.013257,80.807669,46.114071
0.009103,67.180661,40.731634
0.006251,72.100841,45.993664
0.004292,73.097489,45.564494
0.002947,68.348803,45.054466
0.002024,72.112831,45.335918
0.001389,71.126950,44.887127
0.000954,69.027452,46.512300
0.000655,74.495079,46.400072
0.000450,74.975665,43.597675
0.000309,66.501606,44.614077
0.000212,71.772265,44.511976
0.000146,68.963152,45.561402
0.000100,70.353816,46.886628
