# periods, rho, phi
10000.000000,291.701743,43.436027
6866.488450,255.534381,42.205496
4714.866363,238.707919,41.590774
3237.457543,237.743943,42.299468
2222.996483,233.590302,42.862109
1526.417967,230.181870,41.625205
1048.113134,225.130119,42.122905
719.685673,222.455754,40.960265
494.171336,213.951846,40.757664
339.322177,210.394159,40.371545
232.995181,200.710404,39.999231
159.985872,195.432351,38.284513
109.854114,183.578910,36.862878
75.431201,169.678135,35.859413
51.794747,158.544487,34.968933
35.564803,143.340594,33.418091
24.420531,128.936036,31.834710
16.768329,115.016924,30.582547
11.513954,99.893870,29.371582
7.906043,89.831525,27.630346
5.428675,73.399499,26.790913
3.727594,61.454463,27.072231
2.559548,51.094495,26.536264
1.757511,42.826985,28.130887
1.206793,35.407049,29.776908
0.828643,30.028813,32.553617
0.568987,26.008377,37.079333
0.390694,24.753514,42.022478
0.268270,25.028776,47.049459
0.184207,26.508290,52.098890
0.126486,29.806446,56.572870
0.086851,34.509589,58.860025
0.059636,41.923313,60.619700
0.040949,52.970521,60.909294
0.028118,62.049755,58.137794
0.019307,71.626627,55.958593
0.013257,79.969598,51.827865
0.009103,78.464082,47.247202
0.006251,77.656026,45.721028
0.004292,74.121001,44.454835
0.002947,70.315289,44.326935
0.002024,70.041931,44.813453
0.001389,69.982462,44.984509
0.000954,69.787601,45.327453
0.000655,70.896172,45.288535
0.000450,70.976265,44.711722
0.000309,69.294772,44.925451
0.000212,70.354365,44.902742
0.000146,69.793737,45.113404
0.000100,70.061700,45.380482
